pilar,x,y,AZ,P18,P17,P16,P15,P14,P13,P12,P11,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,PB,S1,S2,S3
P2_3,2.5,3.0,126.7,277.5,428.3,579.1,729.9,880.7,1031.5,1193.2,1354.9,1516.6,1678.3,1840.0,2001.7,2176.0,2350.3,2524.5,2698.8,2873.1,3047.3,3266.2,3461.2,3656.2,3851.2
P2_10,2.5,10.0,233.5,505.0,776.5,1048.0,1319.4,1590.9,1862.4,2144.8,2427.1,2709.5,2991.8,3274.2,3556.6,3851.5,4146.4,4441.3,4736.3,5031.2,5326.1,5682.9,6002.0,6321.1,6640.2
P2_17,2.5,17.0,264.1,570.0,876.0,1181.9,1487.9,1793.8,2099.8,2416.6,2733.5,3050.3,3367.1,3684.0,4000.8,4330.2,4659.6,4989.0,5318.4,5647.8,5977.2,6373.4,6728.0,7082.5,7437.1
P2_26,2.5,26.0,264.1,570.0,876.0,1181.9,1487.9,1793.8,2099.8,2416.6,2733.5,3050.3,3367.1,3684.0,4000.8,4330.2,4659.6,4989.0,5318.4,5647.8,5977.2,6373.4,6728.0,7082.5,7437.1
P2_33,2.5,33.0,233.5,505.0,776.5,1048.0,1319.4,1590.9,1862.4,2144.8,2427.1,2709.5,2991.8,3274.2,3556.6,3851.5,4146.4,4441.3,4736.3,5031.2,5326.1,5682.9,6002.0,6321.1,6640.2
P2_40,2.5,40.0,126.7,277.5,428.3,579.1,729.9,880.7,1031.5,1193.2,1354.9,1516.6,1678.3,1840.0,2001.7,2176.0,2350.3,2524.5,2698.8,2873.1,3047.3,3266.2,3461.2,3656.2,3851.2
P10_3,10.38,3.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P10_10,10.38,10.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P10_17,10.38,17.0,508.1,1089.5,1670.9,2252.3,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P10_26,10.38,26.0,508.1,1089.5,1670.9,2252.3,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P10_33,10.38,33.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P10_40,10.38,40.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P18_3,18.25,3.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P18_10,18.25,10.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P18_17,18.25,17.0,508.0,1089.4,1670.8,2252.2,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P18_26,18.25,26.0,508.0,1089.4,1670.8,2252.2,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P18_33,18.25,33.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P18_40,18.25,40.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P26_3,26.13,3.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P26_10,26.13,10.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P26_17,26.13,17.0,508.1,1089.5,1670.9,2252.3,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P26_26,26.13,26.0,508.1,1089.5,1670.9,2252.3,2833.7,3415.1,3996.5,4588.7,5181.0,5773.3,6365.6,6957.9,7550.2,8155.0,8759.9,9364.7,9969.6,10574.4,11179.3,11890.3,12528.2,13166.0,13803.9
P26_33,26.13,33.0,447.0,959.5,1472.0,1984.5,2497.0,3009.5,3522.0,4045.4,4568.7,5092.1,5615.5,6138.9,6662.3,7198.2,7734.2,8270.1,8806.0,9342.0,9877.9,10510.2,11077.2,11644.2,12211.2
P26_40,26.13,40.0,233.4,504.7,776.1,1047.4,1318.7,1590.0,1861.3,2143.6,2425.8,2708.0,2990.2,3272.4,3554.6,3849.4,4144.1,4438.9,4733.7,5028.5,5323.2,5679.9,5998.8,6317.7,6636.7
P34_3,34.0,3.0,221.5,479.3,737.2,995.0,1252.9,1510.7,1768.6,2037.3,2306.0,2574.8,2843.5,3112.2,3381.0,3662.3,3943.6,4224.9,4506.1,4787.4,5068.7,5410.0,5715.0,6020.1,6325.2
P34_10,34.0,10.0,423.1,908.7,1394.2,1879.8,2365.3,2850.9,3336.4,3832.8,4329.3,4825.7,5322.1,5818.6,6315.0,6824.0,7333.0,7842.0,8351.0,8860.0,9369.0,9970.4,10509.7,11049.0,11588.3
P34_17,34.0,17.0,480.8,1031.4,1582.0,2132.6,2683.2,3233.8,3784.4,4345.9,4907.3,5468.8,6030.3,6591.8,7153.3,7727.3,8301.4,8875.4,9449.5,10023.5,10597.6,11273.4,11879.6,12485.8,13092.0
P34_26,34.0,26.0,480.8,1031.4,1582.0,2132.6,2683.2,3233.8,3784.4,4345.9,4907.3,5468.8,6030.3,6591.8,7153.3,7727.3,8301.4,8875.4,9449.5,10023.5,10597.6,11273.4,11879.6,12485.8,13092.0
P34_33,34.0,33.0,423.1,908.7,1394.2,1879.8,2365.3,2850.9,3336.4,3832.8,4329.3,4825.7,5322.1,5818.6,6315.0,6824.0,7333.0,7842.0,8351.0,8860.0,9369.0,9970.4,10509.7,11049.0,11588.3
P34_40,34.0,40.0,221.5,479.3,737.2,995.0,1252.9,1510.7,1768.6,2037.3,2306.0,2574.8,2843.5,3112.2,3381.0,3662.3,3943.6,4224.9,4506.1,4787.4,5068.7,5410.0,5715.0,6020.1,6325.2
P41_3,41.0,3.0,223.2,483.1,742.9,1002.8,1262.6,1522.4,1782.3,2053.0,2323.7,2594.4,2865.2,3135.9,3406.6,3689.9,3973.2,4256.5,4539.8,4823.1,5106.3,5449.8,5757.0,6064.1,6371.2
P41_10,41.0,10.0,426.7,916.2,1405.7,1895.2,2384.8,2874.3,3363.8,3864.2,4364.7,4865.1,5365.5,5865.9,6366.3,6879.3,7392.3,7905.2,8418.2,8931.2,9444.2,10050.2,10593.5,11136.9,11680.3
P41_17,41.0,17.0,484.8,1040.0,1595.1,2150.3,2705.4,3260.6,3815.7,4381.7,4947.8,5513.8,6079.9,6645.9,7211.9,7790.5,8369.1,8947.7,9526.3,10104.9,10683.5,11364.5,11975.4,12586.3,13197.2
P41_26,41.0,26.0,484.8,1040.0,1595.1,2150.3,2705.4,3260.6,3815.7,4381.7,4947.8,5513.8,6079.9,6645.9,7211.9,7790.5,8369.1,8947.7,9526.3,10104.9,10683.5,11364.5,11975.4,12586.3,13197.2
