DETALLE POR NIVEL
sistema,nivel,tipo,area_m2,costo_m2_gs,costo_gs,concreto_m3,acero_kg,peso_propio_kNm2
A_PT_HIBRIDO,S3,SUB,3145.0,531315.0,1670984794.0,880.6,25160.0,7.0
A_PT_HIBRIDO,S2,SUB,3145.0,531315.0,1670984794.0,880.6,25160.0,7.0
A_PT_HIBRIDO,S1,SUB,3145.0,531315.0,1670984794.0,880.6,25160.0,7.0
A_PT_HIBRIDO,PB,PB,3145.0,531315.0,1670984794.0,880.6,25160.0,7.0
A_PT_HIBRIDO,P01,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P02,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P03,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P04,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P05,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P06,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P07,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P08,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P09,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P10,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P11,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P12,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P13,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P14,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P15,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P16,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P17,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,P18,TIPO,2949.0,430879.0,1270661581.0,589.8,20643.0,5.0
A_PT_HIBRIDO,AZ,AZ,2949.0,471319.0,1389920557.0,648.8,23592.0,5.5
B_LOSA_PLANA_ARMADA,S3,SUB,3145.0,660751.0,2078061643.0,1037.9,88060.0,8.2
B_LOSA_PLANA_ARMADA,S2,SUB,3145.0,660751.0,2078061643.0,1037.9,88060.0,8.2
B_LOSA_PLANA_ARMADA,S1,SUB,3145.0,660751.0,2078061643.0,1037.9,88060.0,8.2
B_LOSA_PLANA_ARMADA,PB,PB,3145.0,660751.0,2078061643.0,1037.9,88060.0,8.2
B_LOSA_PLANA_ARMADA,P01,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P02,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P03,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P04,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P05,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P06,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P07,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P08,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P09,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P10,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P11,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P12,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P13,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P14,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P15,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P16,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P17,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,P18,TIPO,2949.0,547789.0,1615429761.0,737.2,70776.0,6.2
B_LOSA_PLANA_ARMADA,AZ,AZ,2949.0,564273.0,1664041077.0,737.2,76674.0,6.2
C_PORTAICO_VIGAS,S3,SUB,3145.0,674239.0,2120480774.0,880.6,94350.0,7.0
C_PORTAICO_VIGAS,S2,SUB,3145.0,674239.0,2120480774.0,880.6,94350.0,7.0
C_PORTAICO_VIGAS,S1,SUB,3145.0,674239.0,2120480774.0,880.6,94350.0,7.0
C_PORTAICO_VIGAS,PB,PB,3145.0,674239.0,2120480774.0,880.6,94350.0,7.0
C_PORTAICO_VIGAS,P01,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P02,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P03,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P04,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P05,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P06,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P07,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P08,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P09,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P10,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P11,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P12,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P13,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P14,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P15,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P16,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P17,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,P18,TIPO,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
C_PORTAICO_VIGAS,AZ,AZ,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5
D_NERVURADA,S3,SUB,3145.0,478339.0,1504377036.0,691.9,56610.0,5.5
D_NERVURADA,S2,SUB,3145.0,478339.0,1504377036.0,691.9,56610.0,5.5
D_NERVURADA,S1,SUB,3145.0,478339.0,1504377036.0,691.9,56610.0,5.5
D_NERVURADA,PB,PB,3145.0,478339.0,1504377036.0,691.9,56610.0,5.5
D_NERVURADA,P01,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P02,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P03,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P04,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P05,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P06,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P07,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P08,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P09,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P10,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P11,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P12,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P13,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P14,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P15,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P16,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P17,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,P18,TIPO,2949.0,405374.0,1195448870.0,530.8,41286.0,4.5
D_NERVURADA,AZ,AZ,2949.0,421858.0,1244060186.0,530.8,47184.0,4.5
E_VIGUETA_BOVEDILLA,S3,SUB,3145.0,674239.0,2120480774.0,880.6,94350.0,7.0
E_VIGUETA_BOVEDILLA,S2,SUB,3145.0,674239.0,2120480774.0,880.6,94350.0,7.0
E_VIGUETA_BOVEDILLA,S1,SUB,3145.0,674239.0,2120480774.0,880.6,94350.0,7.0
E_VIGUETA_BOVEDILLA,PB,PB,3145.0,674239.0,2120480774.0,880.6,94350.0,7.0
E_VIGUETA_BOVEDILLA,P01,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P02,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P03,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P04,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P05,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P06,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P07,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P08,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P09,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P10,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P11,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P12,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P13,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P14,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P15,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P16,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P17,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,P18,TIPO,2949.0,350546.0,1033760154.0,421.7,32439.0,3.6
E_VIGUETA_BOVEDILLA,AZ,AZ,2949.0,625514.0,1844641494.0,766.7,79623.0,6.5

RESUMEN POR SISTEMA (ordenado de más barato a más caro)
ranking,sistema,nombre,costo_total_MMUSD,costo_m2_USD,costo_m2_Gs,concreto_miles_m3,acero_miles_t,peso_propio_medio_kNm2,ahorro_vs_A_pct
1,D_NERVURADA,D) Losa nervurada / reticular alivianada,4.72,68.8,419461.0,12.9,1.0,4.7,7.0
2,E_VIGUETA_BOVEDILLA,E) Vigueta pretensada + bovedilla (tipo) / pórtico (resto),4.74,69.1,421714.0,11.9,1.0,4.3,6.5
3,A_PT_HIBRIDO,A) Losa plana POSTENSADA + vigas perimetrales (híbrido actual),5.07,73.9,451032.0,14.8,0.5,5.4,
4,B_LOSA_PLANA_ARMADA,B) Losa plana armada convencional (sin vigas interiores),6.4,93.3,569209.0,18.2,1.7,6.6,-26.3
5,C_PORTAICO_VIGAS,C) Losa maciza + vigas interiores (pórtico H°A°),7.14,104.0,634448.0,18.1,1.9,6.6,-40.8
