escenario,A_total_MMUSD,D_total_MMUSD,E_total_MMUSD,A_m2_USD,ganador,A_vs_D_pct
Base (PT 12/14 USD/m2),5.07,4.72,4.74,73.9,D_NERVURADA,7.4
PT barato (10 USD/m2),4.9,4.72,4.74,71.5,D_NERVURADA,3.8
PT caro (16 USD/m2),5.32,4.72,4.74,77.5,D_NERVURADA,12.7
Concreto -15%,4.71,4.4,4.18,68.6,E_VIGUETA_BOVEDILLA,7.0
Concreto +15%,5.44,5.03,5.31,79.2,D_NERVURADA,8.2
Acero -15%,4.97,4.51,4.65,72.5,D_NERVURADA,10.2
Acero +15%,5.17,4.92,4.84,75.4,E_VIGUETA_BOVEDILLA,5.1
Encofrado -15%,4.9,4.53,4.69,71.5,D_NERVURADA,8.2
Encofrado +15%,5.24,4.9,4.8,76.4,E_VIGUETA_BOVEDILLA,6.9
"Peor caso PT (acero -15%, PT 16)",5.22,4.51,4.65,76.0,D_NERVURADA,15.7
"Mejor caso PT (materiales +15%, PT 10)",5.54,5.43,5.45,80.7,D_NERVURADA,2.0
