id;nivel;tipo;bordes;lx;ly;g;q;qu;qx;qy;Mx_neg;Mx_pos;My_neg;My_pos;Asx_neg;Asx_pos;Asy_neg;Asy_pos;as_min;Vx;Vy;Vc;phiVc;estribos_x;estribos_y
S3-1-1;S3;NORMAL;SCSC;7.88;7.0;7.0;3.0;14.0;5.37;8.63;25.02;14.07;31.71;17.83;137.8;75.22;176.27;95.4;116.76;15.88;22.65;42.71;32.03;False;False
S3-1-2;S3;NORMAL;SCCC;7.88;7.0;7.0;3.0;14.0;5.37;8.63;25.02;14.07;31.71;17.83;137.8;75.22;176.27;95.4;116.76;15.88;22.65;42.71;32.03;False;False
S3-1-3;S3;NORMAL;SCCC;7.88;9.0;7.0;3.0;14.0;8.82;5.18;41.07;23.1;31.48;17.71;231.44;123.7;174.96;94.72;116.76;26.06;17.49;42.71;32.03;False;False
S3-1-4;S3;NORMAL;SCCC;7.88;7.0;7.0;3.0;14.0;5.37;8.63;25.02;14.07;31.71;17.83;137.8;75.22;176.27;95.4;116.76;15.88;22.65;42.71;32.03;False;False
S3-1-5;S3;NORMAL;SCCS;7.88;7.0;7.0;3.0;14.0;5.37;8.63;25.02;14.07;31.71;17.83;137.8;75.22;176.27;95.4;116.76;15.88;22.65;42.71;32.03;False;False
S3-2-1;S3;NORMAL;CCSC;7.87;7.0;7.0;3.0;14.0;5.39;8.61;25.03;14.08;31.64;17.8;137.88;75.27;175.91;95.21;116.76;15.91;22.6;42.71;32.03;False;False
S3-2-2;S3;NORMAL;CCCC;7.87;7.0;7.0;3.0;14.0;5.39;8.61;25.03;14.08;31.64;17.8;137.88;75.27;175.91;95.21;116.76;15.91;22.6;42.71;32.03;False;False
S3-2-3;S3;NORMAL;CCCC;7.87;9.0;7.0;3.0;14.0;8.83;5.17;41.04;23.08;31.38;17.65;231.27;123.62;174.38;94.42;116.76;26.07;17.43;42.71;32.03;False;False
S3-2-4;S3;NORMAL;CCCC;7.87;7.0;7.0;3.0;14.0;5.39;8.61;25.03;14.08;31.64;17.8;137.88;75.27;175.91;95.21;116.76;15.91;22.6;42.71;32.03;False;False
S3-2-5;S3;NORMAL;CCCS;7.87;7.0;7.0;3.0;14.0;5.39;8.61;25.03;14.08;31.64;17.8;137.88;75.27;175.91;95.21;116.76;15.91;22.6;42.71;32.03;False;False
