nivel,espesor_m,g_kNm2,q_nbr_kNm2,q_asce_kNm2,gq_nbr,gq_asce,uso
S3,0.22,6.0,3.0,1.92,9.0,7.92,cocheras
S2,0.22,6.0,3.0,1.92,9.0,7.92,cocheras
S1,0.22,6.0,3.0,1.92,9.0,7.92,cocheras
PB,0.22,7.0,3.0,4.79,10.0,11.79,comercial
P01,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P02,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P03,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P04,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P05,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P06,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P07,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P08,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P09,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P10,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P11,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P12,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P13,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P14,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P15,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P16,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P17,0.19,7.25,1.5,1.92,8.75,9.17,residencial
P18,0.19,7.25,1.5,1.92,8.75,9.17,residencial
AZ,0.19,6.75,1.0,0.96,7.75,7.71,azotea
