id,x_centro,y_centro,x0,y0,ancho,alto,seccion_m2
P001,2.5,3.0,2.2,2.7,0.6,0.6,0.36
P002,2.5,10.0,2.2,9.7,0.6,0.6,0.36
P003,2.5,17.0,2.2,16.7,0.6,0.6,0.36
P004,2.5,26.0,2.2,25.7,0.6,0.6,0.36
P005,2.5,33.0,2.2,32.7,0.6,0.6,0.36
P006,2.5,40.0,2.2,39.7,0.6,0.6,0.36
P007,10.38,3.0,10.08,2.7,0.6,0.6,0.36
P008,10.38,10.0,10.08,9.7,0.6,0.6,0.36
P009,10.38,17.0,10.08,16.7,0.6,0.6,0.36
P010,10.38,26.0,10.08,25.7,0.6,0.6,0.36
P011,10.38,33.0,10.08,32.7,0.6,0.6,0.36
P012,10.38,40.0,10.08,39.7,0.6,0.6,0.36
P013,18.25,3.0,17.95,2.7,0.6,0.6,0.36
P014,18.25,10.0,17.95,9.7,0.6,0.6,0.36
P015,18.25,17.0,17.95,16.7,0.6,0.6,0.36
P016,18.25,26.0,17.95,25.7,0.6,0.6,0.36
P017,18.25,33.0,17.95,32.7,0.6,0.6,0.36
P018,18.25,40.0,17.95,39.7,0.6,0.6,0.36
P019,26.13,3.0,25.83,2.7,0.6,0.6,0.36
P020,26.13,10.0,25.83,9.7,0.6,0.6,0.36
P021,26.13,17.0,25.83,16.7,0.6,0.6,0.36
P022,26.13,26.0,25.83,25.7,0.6,0.6,0.36
P023,26.13,33.0,25.83,32.7,0.6,0.6,0.36
P024,26.13,40.0,25.83,39.7,0.6,0.6,0.36
P025,34.0,3.0,33.7,2.7,0.6,0.6,0.36
P026,34.0,10.0,33.7,9.7,0.6,0.6,0.36
P027,34.0,17.0,33.7,16.7,0.6,0.6,0.36
P028,34.0,26.0,33.7,25.7,0.6,0.6,0.36
P029,34.0,33.0,33.7,32.7,0.6,0.6,0.36
P030,34.0,40.0,33.7,39.7,0.6,0.6,0.36
P031,41.0,3.0,40.7,2.7,0.6,0.6,0.36
P032,41.0,10.0,40.7,9.7,0.6,0.6,0.36
P033,41.0,17.0,40.7,16.7,0.6,0.6,0.36
P034,41.0,26.0,40.7,25.7,0.6,0.6,0.36
P035,41.0,33.0,40.7,32.7,0.6,0.6,0.36
P036,41.0,40.0,40.7,39.7,0.6,0.6,0.36
P037,49.0,3.0,48.7,2.7,0.6,0.6,0.36
P038,49.0,10.0,48.7,9.7,0.6,0.6,0.36
P039,49.0,17.0,48.7,16.7,0.6,0.6,0.36
P040,49.0,26.0,48.7,25.7,0.6,0.6,0.36
P041,49.0,33.0,48.7,32.7,0.6,0.6,0.36
P042,49.0,40.0,48.7,39.7,0.6,0.6,0.36
P043,56.0,3.0,55.7,2.7,0.6,0.6,0.36
P044,56.0,10.0,55.7,9.7,0.6,0.6,0.36
P045,56.0,17.0,55.7,16.7,0.6,0.6,0.36
P046,56.0,26.0,55.7,25.7,0.6,0.6,0.36
P047,56.0,33.0,55.7,32.7,0.6,0.6,0.36
P048,56.0,40.0,55.7,39.7,0.6,0.6,0.36
P049,63.88,3.0,63.58,2.7,0.6,0.6,0.36
P050,63.88,10.0,63.58,9.7,0.6,0.6,0.36
P051,63.88,17.0,63.58,16.7,0.6,0.6,0.36
P052,63.88,26.0,63.58,25.7,0.6,0.6,0.36
P053,63.88,33.0,63.58,32.7,0.6,0.6,0.36
P054,63.88,40.0,63.58,39.7,0.6,0.6,0.36
P055,71.75,3.0,71.45,2.7,0.6,0.6,0.36
P056,71.75,10.0,71.45,9.7,0.6,0.6,0.36
P057,71.75,17.0,71.45,16.7,0.6,0.6,0.36
P058,71.75,26.0,71.45,25.7,0.6,0.6,0.36
P059,71.75,33.0,71.45,32.7,0.6,0.6,0.36
P060,71.75,40.0,71.45,39.7,0.6,0.6,0.36
P061,79.63,3.0,79.33,2.7,0.6,0.6,0.36
P062,79.63,10.0,79.33,9.7,0.6,0.6,0.36
P063,79.63,17.0,79.33,16.7,0.6,0.6,0.36
P064,79.63,26.0,79.33,25.7,0.6,0.6,0.36
P065,79.63,33.0,79.33,32.7,0.6,0.6,0.36
P066,79.63,40.0,79.33,39.7,0.6,0.6,0.36
P067,87.5,3.0,87.2,2.7,0.6,0.6,0.36
P068,87.5,10.0,87.2,9.7,0.6,0.6,0.36
P069,87.5,17.0,87.2,16.7,0.6,0.6,0.36
P070,87.5,26.0,87.2,25.7,0.6,0.6,0.36
P071,87.5,33.0,87.2,32.7,0.6,0.6,0.36
P072,87.5,40.0,87.2,39.7,0.6,0.6,0.36
