id;anio;titulo;subtitulo_div;categoria;relevancia;slug;post_url;pdf_url;archivo;bytes;paginas;chars;estado
2449;2020;Ordenanza.043.020 Que reglamenta el servicio de transporte de pasajeros que utilizan plataformas digitales muv y uber;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza043020-que-reglamenta-el-servicio-de-transporte-de-pasajeros-que-utilizan-plataformas-digitales-muv-y-uber;https://mcde.gov.py/post/ordenanza043020-que-reglamenta-el-servicio-de-transporte-de-pasajeros-que-utilizan-plataformas-digitales-muv-y-uber;https://mcde.gov.py/api/v1/public/file/0c81d1d478d587b35728066702a49639f93f55ca39c4194327c17ff7;03_PDF_Originales/2020/2449_ordenanza043020-que-reglamenta-el-servicio-de-transporte-de-pasajeros-que-utilizan-platafo.pdf;430303;5;14291;ok
2450;2020;Ordenanza.042.020 Que autoriza al ejecutivo a regular y ejecutar el control y fiscalización del estacionamiento del este;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza042020-que-autoriza-al-ejecutivo-a-regular-y-ejecutar-el-control-y-fiscalizacion-del-estacionamiento-del-este;https://mcde.gov.py/post/ordenanza042020-que-autoriza-al-ejecutivo-a-regular-y-ejecutar-el-control-y-fiscalizacion-del-estacionamiento-del-este;https://mcde.gov.py/api/v1/public/file/bb25199623bb36341404ac2c1bd8e5e012a575d452a74eca41fea292;03_PDF_Originales/2020/2450_ordenanza042020-que-autoriza-al-ejecutivo-a-regular-y-ejecutar-el-control-y-fiscalizacion-.pdf;308059;4;8487;ok
2451;2020;Ordenanza.041.020 Que reglamenta la ocupación y alquiler de salones en predios publico y privado municipal shopping box;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza041020-que-reglamenta-la-ocupacion-y-alquiler-de-salones-en-predios-publico-y-privado-municipal-shopping-box;https://mcde.gov.py/post/ordenanza041020-que-reglamenta-la-ocupacion-y-alquiler-de-salones-en-predios-publico-y-privado-municipal-shopping-box;https://mcde.gov.py/api/v1/public/file/345e27a8f6227d5604eac0901e59042cc47071312a890c087f61b127;03_PDF_Originales/2020/2451_ordenanza041020-que-reglamenta-la-ocupacion-y-alquiler-de-salones-en-predios-publico-y-pri.pdf;321329;4;8802;ok
2452;2020;Ordenanza.040.020 Que actualiza y se amplia la reglamentación de la tenencia de animales domésticos;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza040020-que-actualiza-y-se-amplia-la-reglamentacion-de-la-tenencia-de-animales-domesticos;https://mcde.gov.py/post/ordenanza040020-que-actualiza-y-se-amplia-la-reglamentacion-de-la-tenencia-de-animales-domesticos;https://mcde.gov.py/api/v1/public/file/e2bc65324e7e16387769aea239b11dd66df32589449bb0abdf0ab77c;03_PDF_Originales/2020/2452_ordenanza040020-que-actualiza-y-se-amplia-la-reglamentacion-de-la-tenencia-de-animales-dom.pdf;495052;6;15919;ok
2453;2020;Ordenanza.039.020 Por la que se establece con el nombre de Pa'i Hugo Agüero calle del frente de Parroquia Niño Jesús;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza039020-por-la-que-se-establece-con-el-nombre-de-pai-hugo-aguero-calle-del-frente-de-parroquia-nino-jesus;https://mcde.gov.py/post/ordenanza039020-por-la-que-se-establece-con-el-nombre-de-pai-hugo-aguero-calle-del-frente-de-parroquia-nino-jesus;https://mcde.gov.py/api/v1/public/file/123751893ac95535980032048ef562d2e0b243abd8398cef8ce69640;03_PDF_Originales/2020/2453_ordenanza039020-por-la-que-se-establece-con-el-nombre-de-pai-hugo-aguero-calle-del-frente-.pdf;118979;1;3289;ok
2454;2020;Ordenanza.038.020 Que aprueba la construccion bajo la modalidad de padrinazgo el busto de Lucas Maidana;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza038020-que-aprueba-la-construccion-bajo-la-modalidad-de-padrinazgo-el-busto-de-lucas-maidana;https://mcde.gov.py/post/ordenanza038020-que-aprueba-la-construccion-bajo-la-modalidad-de-padrinazgo-el-busto-de-lucas-maidana;https://mcde.gov.py/api/v1/public/file/db1a26afd1fe05693614c699d119a4c0029e5cdeec8c27ea62aee9d6;03_PDF_Originales/2020/2454_ordenanza038020-que-aprueba-la-construccion-bajo-la-modalidad-de-padrinazgo-el-busto-de-lu.pdf;98396;1;2397;ok
2455;2020;Ordenanza.037.020 Por la que se rectifica y amplia los art. 7 y 12 de la Ord. 29.20 Sobre normas ampliatorias para el control de contaminación ambiental;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza037020-por-la-que-se-rectifica-y-amplia-los-art-7-y-12-de-la-ord-2920-sobre-normas-ampliatorias-para-el-control-de-contaminacion-ambiental;https://mcde.gov.py/post/ordenanza037020-por-la-que-se-rectifica-y-amplia-los-art-7-y-12-de-la-ord-2920-sobre-normas-ampliatorias-para-el-control-de-contaminacion-ambiental;https://mcde.gov.py/api/v1/public/file/d1bd95cc3395c377d5df98f984ae71e27b5aba9622a446673d78dba5;03_PDF_Originales/2020/2455_ordenanza037020-por-la-que-se-rectifica-y-amplia-los-art-7-y-12-de-la-ord-2920-sobre-norma.pdf;125356;1;4054;ok
2456;2020;Ordenanza.036.020 Por la cual se rechaza el veto a la ordenanza 031.2020 J.M. presupuesto 2021;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza036020-por-la-cual-se-rechaza-el-veto-a-la-ordenanza-0312020-jm-presupuesto-2021;https://mcde.gov.py/post/ordenanza036020-por-la-cual-se-rechaza-el-veto-a-la-ordenanza-0312020-jm-presupuesto-2021;https://mcde.gov.py/api/v1/public/file/768572bb38d85ba4045096da93a9d84db665a868cf049c7c86289268;03_PDF_Originales/2020/2456_ordenanza036020-por-la-cual-se-rechaza-el-veto-a-la-ordenanza-0312020-jm-presupuesto-2021.pdf;480109;5;17226;ok
2457;2020;Ordenanza.035.020 Por la que se reglamenta la ocupación y alquiler de los salones ubicados en el edificio galería gran oriente del microcentro;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza035020-por-la-que-se-reglamenta-la-ocupacion-y-alquiler-de-los-salones-ubicados-en-el-edificio-galeria-gran-oriente-del-microcentro;https://mcde.gov.py/post/ordenanza035020-por-la-que-se-reglamenta-la-ocupacion-y-alquiler-de-los-salones-ubicados-en-el-edificio-galeria-gran-oriente-del-microcentro;https://mcde.gov.py/api/v1/public/file/a5e20cf469589ac53985ed33f659b5ecd211a63d7dfb3681e5823b52;03_PDF_Originales/2020/2457_ordenanza035020-por-la-que-se-reglamenta-la-ocupacion-y-alquiler-de-los-salones-ubicados-e.pdf;228703;2;7048;ok
2458;2020;Ordenanza.034.020 Que amplia el presupuesto 2020, ingresos y egresos royalties y fonacide;ORDENANZAS JUNTA MUNICIPAL AÑO 2020;Ordenanzas Junta Municipal 2020;;ordenanza034020-que-amplia-el-presupuesto-2020-ingresos-y-egresos-royalties-y-fonacide;https://mcde.gov.py/post/ordenanza034020-que-amplia-el-presupuesto-2020-ingresos-y-egresos-royalties-y-fonacide;https://mcde.gov.py/api/v1/public/file/d97cb90d8e4d41aa686bc7976bae4c6901c0569bd6af68802ad78180;03_PDF_Originales/2020/2458_ordenanza034020-que-amplia-el-presupuesto-2020-ingresos-y-egresos-royalties-y-fonacide.pdf;189727;2;5099;ok
